Term id	Term Definition	Enrichment	Corrected pvalue
GO:0003743	translation initiation factor activity	9/57	0.004
GO:0045182	translation regulator activity	12/152	0.0083
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	4/4	0.0132
GO:0008135	"translation factor activity, RNA binding"	9/100	0.0159
GO:0090079	"translation regulator activity, nucleic acid binding"	9/123	0.0215
GO:0097199	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	4/8	0.0269
GO:0051400	BH domain binding	4/10	0.0289
GO:0019899	enzyme binding	31/2205	0.0344
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	4/15	0.0381
GO:0005123	death receptor binding	4/16	0.0404
GO:0051434	BH3 domain binding	3/5	0.0484